Nº serie;Etiqueta;Fabricante;Modelo
KQYNC0H;0028792;IBM;X3400
MXL53914RF;0020190;HP;PRODESK 600 G1 DM
C17PN0EKG8WN;0020583;APPLE;MAC A1398
F8NLCX04029832C;0020708;ASUS;X205T
5CD5480MD8;0020871;HP;PROBOOK 440 G3
41PY541;0031402;TOSHIBA;4900-785
41XH662;0030751;TOSHIBA;4900-785
41AXH92;0024736;TOSHIBA;4900-785
41AXM75;0021205;TOSHIBA;4900-785
MXQ626047Q;0022279;HP;PROLIANT DL360 GEN9
2M2632035Z;0022167;HP;PROLIANT DL120 GEN9
2M26340071;0022148;HP;PROLIANT DL120 GEN9
2M2622055C;0022150;HP;PROLIANT DL120 GEN9
MXL6281699;0022033;HP;PRODESK 600 G2 DM
41BRV84;0031070;TOSHIBA;4900-785
41BRV77;0031088;TOSHIBA;4900-785
MXL65014CN;0022915;HP;PRODESK 600 G2 DM
MX264600NW;0030186;HP;ML30 GEN9
5CD7023CNW;0023130;HP;PROBOOK 440 G4
MXL7050PX5;0023114;HP;PRODESK 600 G1 DM
C02SX02MGG7J;0022600;APPLE;MAC MK462
R9-0LH4YH;0023311;LENOVO;X1 YOGA
2M2707014K;0022829;HP;PROLIANT DL180 GEN9
2M2707014R;0022828;HP;PROLIANT DL180 GEN9
2M271300J7;0022854;HP;PROLIANT DL180 GEN9
USE716BP0S;0023506;HP;PROLIANT DL580 GEN09
USE716BP0N;0023504;HP;PROLIANT DL580 GEN09
USE716BP0W;0023502;HP;PROLIANT DL580 GEN09
41AAKYE;0031103;TOSHIBA;4900-786
SN-TEC3132;0024106;Sapian S.A.S;INTEL CELERON J1900
MXL7072TQW;0029605;HP;PRODESK 600 G2 DM
10.181.0.158;10.181.0.158;NUC;NUC
41AGLYR;0024619;TOSHIBA;4900-786
TSEF00155;0024623;TOSHIBA;4900-786
41-AGLXA;0024625;TOSHIBA;4900-786
41-AGLVR;0024628;TOSHIBA;4900-786
41AGKWN;0024631;TOSHIBA;4900-786
41AEKBZ;0023513;TOSHIBA;4900-786
5CG7121QFT;0023220;HP;ELITEBOOK 1030 G2
2M2739014Y;0024999;HP;PROLIANT DL180 GEN9
DQKSXM2;0053072;DELL;FX2 Ra
4HDBXM2;0053087;DELL;FX2 Ra
2M2804022X;0025447;HP;PROLIANT ML110 GEN10
2M2804024T;0025446;HP;PROLIANT ML110 GEN10
2M2804024J;0025444;HP;PROLIANT ML110 GEN10
G7580HMP0518N33;0025608;POWER GROUP;G7580H
JJH8MN2;0025911;DELL;POWEREDGE R440
JJH8CP2;0025912;DELL;POWEREDGE R440
JJH7MN2;0025910;DELL;POWEREDGE R440
8NG6532XGT;0026131;HP;PRODESK 400 G2 DM
4JPJ0Q2;0055888;DELL;POWEREDGE FX2S
C02W84J8J1GG;0025209;APPLE;MK462E/A
8CG8191XH1;0026178;HP;PRODESK 400 G2 DM
9W72XQ2;0026716;DELL;POWEREDGE FX2S
9W67XQ2;0026307;DELL;Rack R440 Dell 5Y T2W
